,R_INTERNATIONAL_MIG_2019,Unemployment_rate_2020,PCT_COLL_4_2015_19,PCT_COLL_1TO3_2000,PCT_HSD_Only_2000,R_NET_MIG_2019,Med_HH_Income_Percent_of_State_Total_2019,GQ_ESTIMATES_2019,N_POP_CHG_2019,INTERNATIONAL_MIG_2019,NET_MIG_2019,HSD_Only_2000,DOMESTIC_MIG_2019,RESIDUAL_2019,Deaths_2019,COLL_4_2000,POP_ESTIMATE_2019,LT_HSD_2015_19,COLL_1TO3_2000,Unemployed_2020,NATURAL_INC_2019,GQ_ESTIMATES_BASE_2010,Employed_2020,LT_HSD_2000,COLL_4_2015_19,HSD_Only_2015_19,COLL_1TO3_2015_19,Civilian_labor_force_2020,CENSUS_2010_POP,PCT_LT_HSD_2000,R_birth_2019,PCT_COLL_1TO3_2015_19,PCT_COLL_4_2000,Economic_typology_2015,R_death_2019,county_name,state_code
359232,0.4,2.7,18.8,28.6,37.2,-2.0,82.9,89,-36,2,-10,"1,602",-12,0.0,73,647,"5,003",274,"1,230",76,-26,156,"2,705",822,674,"1,276","1,359","2,781","5,228",19.1,9.4,37.9,15.0,1.0,14.5,Thayer County,NE
354430,0.0,6.9,16.6,22.3,20.5,-28.6,83.2,1,-87,0,-81,393,-81,-1.0,26,336,"2,793",402,426,84,-5,0,"1,125",758,326,488,752,"1,209","3,461",39.6,7.4,38.2,17.6,2.0,9.2,Schleicher County,TX
345391,0.1,3.8,14.1,30.9,32.7,9.1,92.3,82,320,3,191,"3,910",188,0.0,179,"1,201","21,039","2,691","3,686",448,129,82,"11,194","3,143","1,821","4,154","4,275","11,642","20,069",26.3,14.8,33.0,10.1,1.0,8.6,Minidoka County,ID
347568,0.2,5.0,17.2,26.3,36.2,-3.4,73.1,171,-24,2,-30,"2,524",-32,0.0,107,"1,032","8,708",943,"1,831",177,6,171,"3,367","1,576","1,063","2,297","1,866","3,544","9,446",22.6,13.0,30.2,14.8,0.0,12.3,Kiowa County,OK
354880,0.1,4.7,9.8,21.7,37.2,-8.2,70.7,416,-140,2,-152,"4,095",-154,0.0,213,928,"18,386","3,081","2,384",431,12,426,"8,674","3,597","1,208","4,758","3,241","9,105","18,236",32.7,12.2,26.4,8.4,0.0,11.5,Appling County,GA
350553,0.1,7.9,10.4,22.8,32.8,-20.0,70.2,"4,099",-515,2,-506,"5,953",-508,1.0,315,"1,746","24,994","3,239","4,140",634,-10,"4,085","7,394","6,334","1,861","6,739","6,075","8,028","28,258",34.9,12.1,33.9,9.6,4.0,12.5,St. Francis County,AR
349155,0.2,4.4,13.0,17.5,29.3,-2.6,67.3,267,-24,2,-28,"1,804",-30,-1.0,125,626,"10,803","1,633","1,081",250,5,287,"5,383","2,655",936,"2,685","1,943","5,633","10,998",43.1,12.0,27.0,10.2,0.0,11.6,Candler County,GA
350479,0.8,7.5,25.6,26.4,30.8,1.8,89.9,"4,520",381,74,177,"17,883",103,-4.0,985,"12,489","97,984","7,248","15,339","3,685",208,"4,418","45,343","12,327","16,678","22,960","18,181","49,028","98,294",21.2,12.2,27.9,21.5,0.0,10.1,Madison County,TN
346044,0.1,9.6,14.0,19.4,38.6,2.9,62.6,202,-17,1,24,"2,404",23,-1.0,118,737,"8,237","1,076","1,208",290,-40,223,"2,730","1,872",853,"2,442","1,725","3,020","8,865",30.1,9.5,28.3,11.8,0.0,14.3,San Augustine County,TX
348549,1.2,6.7,23.1,30.1,29.8,1.6,80.5,"12,787",423,160,205,"24,086",45,-4.0,"1,363","16,122","132,230","11,300","24,292","3,686",222,"12,187","51,620","16,240","19,455","26,740","26,806","55,306","131,500",20.1,12.0,31.8,20.0,2.0,10.3,Wichita County,TX
346347,-0.2,5.5,11.1,16.2,39.5,-14.8,82.7,341,-375,-4,-352,"6,580",-348,1.0,334,"1,053","23,528","3,204","2,706",545,-24,341,"9,374","6,335","1,804","7,019","4,265","9,919","24,583",38.0,13.1,26.2,6.3,0.0,14.1,Poinsett County,AR
351513,1.0,5.8,21.6,19.1,35.8,-1.0,75.8,"1,553",-85,34,-34,"7,848",-68,-3.0,359,"3,361","33,328","3,194","4,182",902,-48,"2,244","14,554","6,517","4,634","8,367","5,297","15,456","35,021",29.7,9.3,24.6,15.3,4.0,10.8,Weakley County,TN
355556,0.0,6.0,14.5,25.9,34.9,-6.3,94.6,352,-238,0,-147,"6,622",-147,-2.0,338,"2,415","23,382","2,286","4,906",592,-89,352,"9,229","5,032","2,370","6,816","4,908","9,821","26,120",26.5,10.6,30.0,12.7,4.0,14.4,Ouachita County,AR
342878,0.4,5.3,26.2,23.6,32.8,10.0,97.4,"3,837","1,516",47,"1,091","16,615","1,044",-1.0,"1,030","10,624","110,332","7,362","11,971","2,972",426,"3,579","52,803","11,515","18,091","23,849","19,662","55,775","96,443",22.7,13.3,28.5,20.9,0.0,9.4,Craighead County,AR
355619,0.0,6.5,21.3,26.4,43.6,-7.1,86.0,249,-156,0,-112,"4,956",-112,-1.0,205,"1,527","15,638",965,"3,000",464,-43,249,"6,656","1,871","2,425","4,297","3,694","7,120","16,561",16.5,10.3,32.5,13.4,0.0,13.0,De Witt County,IL
350592,-0.2,6.0,16.2,20.6,40.6,-2.1,96.1,602,-14,-7,-94,"9,940",-87,-2.0,505,"2,670","45,325","3,536","5,052","1,158",82,602,"18,292","6,848","4,859","13,792","7,887","19,450","42,090",27.9,12.9,26.2,10.9,3.0,11.1,Greene County,AR
353983,0.0,6.0,12.6,15.4,37.8,-11.6,83.0,125,-212,0,-170,"4,603",-170,0.0,197,900,"14,551","1,845","1,876",333,-42,125,"5,186","4,796","1,323","4,410","2,947","5,519","16,083",39.4,10.6,28.0,7.4,1.0,13.4,Clay County,AR
